country,PC1,PC2,PC3,PC4,PC5
United States,-43.75424955345075,42.24151613781365,-2.5561640655534155,-25.812484847757283,6.910507480587885
Canada,-27.513518468982742,13.407321171890997,-9.699899952158775,13.999086648009984,6.715698009431086
Bahamas,6.587156579949128,-3.568220200505462,-6.254534893869135,-2.872348659420579,-1.2905812328493382
Cuba,15.056114417840428,2.134453961985108,11.172855316222208,2.083323594093616,5.510308611968048
Haiti,-5.416650727641667,9.128988864464452,-4.042034086326809,-0.3809239499601315,-6.397009306448048
Dominican Republic,7.3902568035854435,-4.485579610007421,-5.149011627543412,-2.141952327129349,-0.9220761832113349
Jamaica,7.827718497871612,-4.540808902863803,-5.265219624464267,-1.7896316024589196,-1.0600762444386147
Trinidad & Tobago,7.754005671622007,-1.1151600345708401,-5.460785846330216,-1.1070572697416468,-2.9645921032340077
Barbados,5.833632834195952,-2.280315096369177,-7.518720572714722,0.033501009139547025,-1.5753859763067068
Dominica,-3.970007059463976,17.054859782302792,-0.4052986286501532,0.2637134068509909,-9.1588145198411
Grenada,3.3784391478528195,7.4707304381284105,-2.1806830065730174,3.188294309305403,-9.211358447530872
St. Lucia,8.419735051181615,-4.004695843779758,-4.76169933790329,-2.3195524322771894,-1.6417157746244158
St. Vincent & Grenadines,9.117838891758423,-3.212357880296487,-3.0825598362118654,-1.6827703982753706,-3.3625430099781624
Antigua & Barbuda,6.610199082380601,-0.3107982638637486,-6.230464376526338,-1.327730181836835,-2.667304217703419
St. Kitts & Nevis,4.694787205992463,0.24671817536855856,-5.071011660401313,-1.0491244662988939,-0.9875123762257849
Mexico,4.238731155228806,-3.2887802021270502,-6.5079323786417085,0.5831052289441382,-0.41720625107698905
Belize,6.907453384689642,-3.0245157628805526,-5.5903576193741475,-1.5342274962903681,-3.419920454413854
Guatemala,1.9484606585716018,3.160368260035805,-12.03423887885523,4.4004508313761574,0.9187220955398496
Honduras,1.4576645132157837,4.708983548856609,-12.703263838391623,5.124360551946352,0.7222956537211345
El Salvador,8.4957421169388585,-3.3680399960515297,-3.2325577986844074,-1.8121985964031755,-1.5689541004682854
Nicaragua,14.456623650918765,0.9478507293014206,8.50293741235805,2.601238839548693,4.389301519740292
Costa Rica,5.81566867233089,-5.33228809297305,-5.5162695240708555,-1.7401848690420727,-0.9971059920038414
Panama,3.090838083442775,-2.4698626878412053,-8.14180597299549,0.6306836948509082,-0.885666719903904
Colombia,5.123757975760528,-3.0961105160046287,-6.360732306018845,-0.6071483007838201,-1.147047787691516
Venezuela,13.617139137199791,1.3566972577964105,7.675845252999277,3.1075404901835464,0.9384195157269039
Guyana,8.828525671356712,-4.064900649265075,-4.1793812469278055,-2.462576087983399,-1.689816039449998
Suriname,8.788619551485576,1.3203474656524474,-0.4892338154410348,0.5932644101350488,-3.2607856449999306
Ecuador,10.477135720758792,-2.232350749467838,1.7122096926174772,0.25323209839725025,0.7225112467834675
Peru,5.618126864286149,-4.990170702584045,-6.262441982732736,-0.5883793362735585,-1.049969018954392
Brazil,5.18081199643013,-3.1705767036662102,-3.8188175713127417,-1.1252963672755236,-0.3528503492791548
Bolivia,12.720288802904669,0.3223564679387963,5.909265083915771,1.1281230717252184,3.970537641042452
