Windmill,Wind Speed (m/s),Power output (MW)
a218,8.283680556,9.8943125
a219,8.303958333,9.833416667
a220,8.308125,11.5561875
a221,8.330416667,13.15097917
a222,8.331388889,12.5738125
a223,8.354375,13.50327083
a224,8.439722222,11.43447917
a225,8.442847222,11.84952083
a226,8.443194444,11.995875
a227,8.458125,11.57272917
a228,8.473888889,13.97875
a229,8.474652778,13.81379167
a230,8.563611111,12.5773125
a231,8.583472222,12.88689583
a232,8.607222222,12.32645833
a233,8.690694444,14.18722917
a234,8.703611111,12.26941667
a235,8.723194444,14.30822917
a236,8.768541667,12.64872917
a237,8.7875,12.85414583
a238,8.838611111,12.82489583
a239,8.873611111,12.333875
a240,8.909930556,13.01747917
a241,8.938055556,12.92427083
a242,8.946458333,14.98839583
a243,8.954722222,12.98766667
a244,8.990208333,12.19139583
a245,9.036666667,14.97658333
a246,9.065555556,13.79714583
a247,9.144930556,16.086625
a248,9.172361111,15.47633333
a249,9.204097222,13.27504167
a250,9.23375,14.0113125
a251,9.234513889,14.77333333
a252,9.255694444,14.60079167
a253,9.256666667,13.68725
a254,9.266319444,15.44377083
a255,9.269930556,13.15172917
a256,9.287222222,15.02189583
a257,9.292569444,13.99875
a258,9.328888889,13.77633333
a259,9.362708333,14.59466667
a260,9.402986111,14.14110417
a261,9.404375,14.77960417
a262,9.419861111,14.83027083
a263,9.439722222,15.73560417
a264,9.455555556,14.5160625
a265,9.478125,14.148875
a266,9.507013889,15.7435625
a267,9.515416667,15.62579167
a268,9.55125,14.217125
a269,9.653680556,16.25870833
a270,9.658958333,16.27333333
a271,9.695138889,15.50489583
a272,9.728611111,15.493
a273,9.791111111,15.59383333
a274,9.824166667,15.89010417
a275,9.827916667,16.9850625
a276,9.878402778,15.28064583
a277,9.878472222,16.0180625
a278,9.939027778,17.02341667
a279,9.989861111,16.90716667
a280,10.06513889,16.526125
a281,10.07284722,16.88391667
a282,10.095,17.04339583
a283,10.24520833,17.33995833
a284,10.26097222,17.87427083
a285,10.38770833,17.19852083
a286,10.46229167,18.16735417
a287,10.46659722,18.54439583
a288,10.49076389,19.24847917
a289,10.503125,18.131875
a290,10.51875,16.42695833
a291,10.52826389,19.28114583
a292,10.54576389,18.88529167
a293,10.58152778,18.62575
a294,10.62576389,18.7215
a295,10.70493056,18.50847917
a296,10.70881944,17.897625
a297,10.70979167,19.393
a298,10.72020833,19.8158125
a299,10.74173611,18.701125
a300,10.74444444,18.47552083
a301,10.76923611,19.042125
a302,10.88395833,19.1835
a303,10.89229167,17.74397917
a304,10.91013889,18.19927083
a305,10.93097222,19.96422917
a306,10.97638889,19.33766667
a307,10.98902778,20.2895625
a308,11.063125,19.57289583
a309,11.07326389,18.4113125
a310,11.21638889,20.74554167
a311,11.23631944,20.40439583
a312,11.2475,20.694125
a313,11.27972222,19.62504167
a314,11.29930556,20.22475
a315,11.30347222,17.44035417
a316,11.31861111,20.05866667
a317,11.355625,20.67260417
a318,11.43395833,21.36477083
a319,11.44076389,18.0785
a320,11.49583333,19.49235417
a321,11.53111111,20.09041667
a322,11.55291667,21.97025
a323,11.57583333,19.80679167
a324,11.57868056,22.16314583
a325,11.57923611,19.75364583
a326,11.61055556,18.26564583
a327,11.70763889,21.577375
a328,11.8225,21.97547917
a329,11.90493056,22.82870833
a330,12.12625,23.10260417
a331,12.14319444,20.85595833
a332,12.30423611,23.25797917
a333,12.31951389,23.8341875
a334,12.41243056,23.71645833
a335,12.43236111,21.64608333
a336,12.43715278,24.0004375
a337,12.47173611,23.48372917
a338,12.47979167,24.90864583
a339,12.48020833,24.23554167
a340,12.68569444,23.70204167
a341,12.75222222,15.50539583
a342,12.81576389,25.5706875
a343,13.04909722,23.3161875
a344,13.1775,23.53583333
a345,13.23861111,25.7523125
a346,13.29319444,27.0041875
a347,13.763125,26.5828125
a348,13.77722222,27.0890625
a349,13.88993056,27.69941667
a350,14.03291667,26.40464583
a351,14.155625,26.67614583
a352,14.22340278,28.75483333
a353,14.29402778,23.60325
a354,14.29951389,26.00772917
a355,14.37319444,25.22575
a356,14.436875,28.84470833
a357,14.63875,28.01879167
a358,14.78368056,27.35460417
a359,14.93430556,22.23283333
a360,15.16819444,26.15347917
a361,15.24763889,27.5020625
a362,15.26784722,28.5775
a363,16.34694444,29.00997917
a364,16.57583333,22.85222917
a365,18.31638889,29.0209375
